roi_id,peak_number,frame_index,time_s,dff_value,prominence,left_base,right_base,x0,y0,w,h,x1,y1
1,1,16,0.8,0.09610509872436523,0.08584280954383752,4,1828,516,131,62,51,578,182
1,2,62,3.1,0.058001138269901276,0.055088363644591624,38,102,516,131,62,51,578,182
1,3,160,8.0,0.08620528876781464,0.0797185699870408,102,188,516,131,62,51,578,182
1,4,211,10.55,0.0826965868473053,0.08339378683844748,188,766,516,131,62,51,578,182
1,5,254,12.7,0.04510081186890602,0.04078467813339531,228,309,516,131,62,51,578,182
1,6,299,14.95,0.039696983993053436,0.03875753637188645,289,309,516,131,62,51,578,182
1,7,338,16.9,0.040446050465106964,0.03588204570382206,309,397,516,131,62,51,578,182
1,8,422,21.1,0.03979084640741348,0.03845838250819056,309,436,516,131,62,51,578,182
1,9,471,23.55,0.041542232036590576,0.04810758560127276,309,485,516,131,62,51,578,182
1,10,481,24.05,0.02656053565442562,0.03470008400727035,475,485,516,131,62,51,578,182
1,11,553,27.65,0.043652214109897614,0.03919446868492582,485,614,516,131,62,51,578,182
1,12,583,29.15,0.03136344254016876,0.032442147255303255,577,614,516,131,62,51,578,182
1,13,628,31.4,0.038874853402376175,0.04644118581098257,485,707,516,131,62,51,578,182
1,14,653,32.65,0.03465647250413895,0.03254811112929276,637,707,516,131,62,51,578,182
1,15,743,37.15,0.06500421464443207,0.047912736693824357,309,754,516,131,62,51,578,182
1,16,751,37.55,0.06138681247830391,0.037851559959431125,746,754,516,131,62,51,578,182
1,17,758,37.9,0.07625101506710052,0.06951433967519728,309,766,516,131,62,51,578,182
1,18,763,38.15,0.04972770810127258,0.04107523796328108,761,766,516,131,62,51,578,182
1,19,770,38.5,0.08699739724397659,0.10775616935936658,188,784,516,131,62,51,578,182
1,20,778,38.9,0.09022882580757141,0.0743828651946224,774,784,516,131,62,51,578,182
1,21,790,39.5,0.10772494226694107,0.1341136394392979,784,825,516,131,62,51,578,182
1,22,811,40.55,0.0820569321513176,0.10614679010296436,803,825,516,131,62,51,578,182
1,23,833,41.65,0.09678112715482712,0.10095284637043817,825,1800,516,131,62,51,578,182
1,24,869,43.45,0.0508706159889698,0.04059135747955671,837,907,516,131,62,51,578,182
1,25,965,48.25,0.038705673068761826,0.04868278459092826,837,1047,516,131,62,51,578,182
1,26,998,49.9,0.037306539714336395,0.04681794390432058,991,1047,516,131,62,51,578,182
1,27,1035,51.75,0.043621260672807693,0.035052372990618204,1018,1047,516,131,62,51,578,182
1,28,1062,53.1,0.048715271055698395,0.06048704479899823,1047,1110,516,131,62,51,578,182
1,29,1193,59.65,0.05595226213335991,0.045952006282706945,1110,1212,516,131,62,51,578,182
1,30,1231,61.55,0.09017574042081833,0.04247968264047325,1047,1243,516,131,62,51,578,182
1,31,1258,62.9,0.09927482157945633,0.08627898834620201,1047,1800,516,131,62,51,578,182
1,32,1301,65.05,0.02170482836663723,0.0337369591658167,1277,1326,516,131,62,51,578,182
1,33,1352,67.6,0.05018959566950798,0.054836607787890956,1277,1709,516,131,62,51,578,182
1,34,1395,69.75,0.027020283043384552,0.033839164568297414,1379,1417,516,131,62,51,578,182
1,35,1429,71.45,0.041478484869003296,0.03888781385042727,1417,1445,516,131,62,51,578,182
1,36,1463,73.15,0.03995559364557266,0.03977274401794591,1417,1470,516,131,62,51,578,182
1,37,1483,74.15,0.033334970474243164,0.0439952115064555,1417,1709,516,131,62,51,578,182
1,38,1549,77.45,0.03666391596198082,0.03393403271722101,1526,1557,516,131,62,51,578,182
1,39,1566,78.3,0.040256306529045105,0.039273651254585276,1526,1578,516,131,62,51,578,182
1,40,1583,79.15,0.030426181852817535,0.03488125610627831,1578,1589,516,131,62,51,578,182
1,41,1607,80.35,0.046584371477365494,0.0366394324982797,1578,1612,516,131,62,51,578,182
1,42,1623,81.15,0.048677124083042145,0.03799855028295861,1578,1647,516,131,62,51,578,182
1,43,1658,82.9,0.045027706772089005,0.04208015888153949,1578,1692,516,131,62,51,578,182
1,44,1704,85.2,0.050293128937482834,0.04616327232214662,1578,1709,516,131,62,51,578,182
1,45,1720,86.0,0.042413223534822464,0.056164172395908527,1709,1729,516,131,62,51,578,182
1,46,1764,88.2,0.06303537636995316,0.0676764833353894,1709,1800,516,131,62,51,578,182
1,47,1795,89.75,0.0457845963537693,0.03573763199968287,1792,1800,516,131,62,51,578,182
1,48,1805,90.25,0.10330555588006973,0.08517062175520132,825,1808,516,131,62,51,578,182
1,49,1816,90.8,0.12331970036029816,0.15716128564458293,784,1828,516,131,62,51,578,182
1,50,1840,92.0,0.09485992044210434,0.11941043242307198,1828,1853,516,131,62,51,578,182
1,51,1860,93.0,0.12354663759469986,0.15312282282220407,1828,2512,516,131,62,51,578,182
1,52,1879,93.95,0.09103700518608093,0.05109397223668747,1866,1917,516,131,62,51,578,182
1,53,1904,95.2,0.08383549749851227,0.03545328595679229,1890,1917,516,131,62,51,578,182
1,54,1930,96.5,0.11798660457134247,0.10778373715685283,1917,2512,516,131,62,51,578,182
1,55,1945,97.25,0.06330735981464386,0.04961407379494757,1940,1954,516,131,62,51,578,182
1,56,1960,98.0,0.03126189112663269,0.04096209510533347,1954,1964,516,131,62,51,578,182
1,57,2016,100.8,0.06858623772859573,0.07092749091323503,1954,2357,516,131,62,51,578,182
1,58,2055,102.75,0.04568187892436981,0.035152766607499546,2034,2084,516,131,62,51,578,182
1,59,2097,104.85,0.04967997223138809,0.048345420043299836,2034,2357,516,131,62,51,578,182
1,60,2159,107.95,0.027919769287109375,0.03822503902220314,2106,2220,516,131,62,51,578,182
1,61,2275,113.75,0.042279377579689026,0.04203179071143773,2106,2357,516,131,62,51,578,182
1,62,2310,115.5,0.029262712225317955,0.032658356110649586,2305,2357,516,131,62,51,578,182
1,63,2386,119.3,0.07985600084066391,0.041967346891014376,2357,2396,516,131,62,51,578,182
1,64,2431,121.55,0.12244829535484314,0.10405897268855947,2357,2512,516,131,62,51,578,182
1,65,2552,127.6,0.17931295931339264,0.17868241815230093,1828,2608,516,131,62,51,578,182
1,66,2589,129.45,0.16908001899719238,0.1486143836786485,2566,2608,516,131,62,51,578,182
1,67,2624,131.2,0.0908454954624176,0.06902094412341633,2608,2638,516,131,62,51,578,182
1,68,2662,133.1,0.10087881237268448,0.10033986533906186,2608,3299,516,131,62,51,578,182
1,69,2685,134.25,0.04860435798764229,0.034135254046626,2674,2699,516,131,62,51,578,182
1,70,2746,137.3,0.05950501188635826,0.06591417907104147,2699,2793,516,131,62,51,578,182
1,71,2767,138.35,0.05831802263855934,0.04987921605918862,2763,2793,516,131,62,51,578,182
1,72,2785,139.25,0.0349322184920311,0.03716786666144878,2775,2793,516,131,62,51,578,182
1,73,2799,139.95,0.05617648735642433,0.07183840168535569,2793,2829,516,131,62,51,578,182
1,74,2815,140.75,0.039125096052885056,0.03511323960604229,2806,2829,516,131,62,51,578,182
1,75,2837,141.85,0.0259665846824646,0.038106387176880106,2829,2860,516,131,62,51,578,182
1,76,2871,143.55,0.04183162748813629,0.03158761866159757,2860,2897,516,131,62,51,578,182
1,77,2911,145.55,0.05865130573511124,0.07021404680523294,2829,3190,516,131,62,51,578,182
1,78,2953,147.65,0.03866224363446236,0.04359571618153498,2933,3008,516,131,62,51,578,182
1,79,2981,149.05,0.04107678681612015,0.036993914055787044,2972,3008,516,131,62,51,578,182
1,80,3063,153.15,0.06206394359469414,0.04823862659752717,3008,3190,516,131,62,51,578,182
1,81,3180,159.0,0.05280999466776848,0.04097499532691509,3164,3190,516,131,62,51,578,182
1,82,3237,161.85,0.07821033149957657,0.08022368746416872,2829,3299,516,131,62,51,578,182
1,83,3294,164.7,0.020427508279681206,0.04127882898317364,3283,3299,516,131,62,51,578,182
1,84,3304,165.2,0.05038071796298027,0.04360356935014789,3299,3309,516,131,62,51,578,182
1,85,3315,165.75,0.05111180990934372,0.03515950111587152,3299,3325,516,131,62,51,578,182
1,86,3338,166.9,0.08226530253887177,0.08930140935984594,3299,3841,516,131,62,51,578,182
1,87,3366,168.3,0.07409389317035675,0.03911063535376698,3356,3841,516,131,62,51,578,182
1,88,3424,171.2,0.031879525631666183,0.04617524227455642,3389,3435,516,131,62,51,578,182
1,89,3482,174.1,0.054614417254924774,0.05412586295781176,3389,3565,516,131,62,51,578,182
1,90,3535,176.75,0.05078601837158203,0.03800659092535581,3526,3565,516,131,62,51,578,182
1,91,3595,179.75,0.030259406194090843,0.03699066548031407,3565,3602,516,131,62,51,578,182
1,92,3632,181.6,0.04366658627986908,0.058144020660047084,3389,3823,516,131,62,51,578,182
1,93,3775,188.75,0.04523491859436035,0.05204779207525491,3740,3823,516,131,62,51,578,182
1,94,3829,191.45,0.038295142352581024,0.07093640094925442,3389,3841,516,131,62,51,578,182
1,95,3876,193.8,0.07297271490097046,0.08561349014176038,3841,3962,516,131,62,51,578,182
1,96,3901,195.05,0.06753461062908173,0.08075288795449674,3890,3962,516,131,62,51,578,182
1,97,3982,199.1,0.06713319569826126,0.0622820442328093,3962,3999,516,131,62,51,578,182
2,1,17,0.85,0.11318008601665497,0.09728730575096632,5,188,341,298,34,32,375,330
2,2,74,3.7,0.09968697279691696,0.08420781239213103,38,188,341,298,34,32,375,330
2,3,164,8.2,0.052374694496393204,0.0624681949605289,102,188,341,298,34,32,375,330
2,4,211,10.55,0.08780508488416672,0.10272175689182753,188,425,341,298,34,32,375,330
2,5,254,12.7,0.04269774258136749,0.04619454846214664,228,386,341,298,34,32,375,330
2,6,416,20.8,0.07545634359121323,0.07184550421079693,386,425,341,298,34,32,375,330
2,7,430,21.5,0.05293847247958183,0.06137499636496396,425,436,341,298,34,32,375,330
2,8,471,23.55,0.05622043088078499,0.06943810490851256,425,485,341,298,34,32,375,330
2,9,520,26.0,0.05255630239844322,0.06540685436773333,425,603,341,298,34,32,375,330
2,10,584,29.2,0.061963409185409546,0.050017352506810414,525,603,341,298,34,32,375,330
2,11,628,31.4,0.05511590465903282,0.04786372395341145,603,637,341,298,34,32,375,330
2,12,698,34.9,0.10159395635128021,0.04221106403819272,603,712,341,298,34,32,375,330
2,13,719,35.95,0.11625253409147263,0.08789138283525214,425,728,341,298,34,32,375,330
2,14,732,36.6,0.11428714543581009,0.08591120707983252,728,738,341,298,34,32,375,330
2,15,743,37.15,0.18717654049396515,0.17382207293900098,188,754,341,298,34,32,375,330
2,16,758,37.9,0.0,0.056847734530777225,754,761,341,298,34,32,375,330
2,17,777,38.85,0.19152648746967316,0.2633931563162941,754,1799,341,298,34,32,375,330
2,18,789,39.45,0.1836472898721695,0.22816447393105543,783,1773,341,298,34,32,375,330
2,19,821,41.05,0.09292959421873093,0.09635534032727261,805,826,341,298,34,32,375,330
2,20,833,41.65,0.12052427977323532,0.13542094221221831,805,1048,341,298,34,32,375,330
2,21,852,42.6,0.07831989228725433,0.05315268647338861,838,926,341,298,34,32,375,330
2,22,913,45.65,0.055970847606658936,0.044483419919197464,907,926,341,298,34,32,375,330
2,23,938,46.9,0.09645159542560577,0.045378306219099634,926,991,341,298,34,32,375,330
2,24,998,49.9,0.0964503139257431,0.08985542589210196,926,1048,341,298,34,32,375,330
2,25,1023,51.15,0.05271490663290024,0.04881115204786027,1018,1048,341,298,34,32,375,330
2,26,1094,54.7,0.06431656330823898,0.08235195783150481,1048,1158,341,298,34,32,375,330
2,27,1147,57.35,0.044670701026916504,0.049919135801138756,1110,1158,341,298,34,32,375,330
2,28,1193,59.65,0.08033286780118942,0.057223632509679906,1158,1212,341,298,34,32,375,330
2,29,1231,61.55,0.11836647987365723,0.05046181541452558,1048,1237,341,298,34,32,375,330
2,30,1258,62.9,0.12589043378829956,0.12711773350498795,1048,1710,341,298,34,32,375,330
2,31,1295,64.75,0.05422300472855568,0.0642867811754629,1277,1323,341,298,34,32,375,330
2,32,1364,68.2,0.05970311909914017,0.07963783583858208,1277,1446,341,298,34,32,375,330
2,33,1395,69.75,0.04493821784853935,0.046846912250575495,1375,1446,341,298,34,32,375,330
2,34,1483,74.15,0.06313562393188477,0.06034112458391687,1277,1506,341,298,34,32,375,330
2,35,1534,76.7,0.07787320017814636,0.10175789950066078,1277,1710,341,298,34,32,375,330
2,36,1607,80.35,0.06893838942050934,0.07112150778262613,1577,1710,341,298,34,32,375,330
2,37,1622,81.1,0.05844304710626602,0.07489607413284435,1613,1710,341,298,34,32,375,330
2,38,1658,82.9,0.07658348977565765,0.049880021747521056,1648,1664,341,298,34,32,375,330
2,39,1671,83.55,0.08300979435443878,0.060192600721034314,1648,1710,341,298,34,32,375,330
2,40,1697,84.85,0.08827278763055801,0.054566206348241726,1679,1710,341,298,34,32,375,330
2,41,1720,86.0,0.1079254299402237,0.08264665014757899,1710,1726,341,298,34,32,375,330
2,42,1747,87.35,0.1618334949016571,0.1390456656592693,805,1759,341,298,34,32,375,330
2,43,1764,88.2,0.21452374756336212,0.1972398144894421,805,1773,341,298,34,32,375,330
2,44,1784,89.2,0.24162587523460388,0.25708709164328036,783,1799,341,298,34,32,375,330
2,45,1805,90.25,0.3078707158565521,0.3477359946438404,1799,2566,341,298,34,32,375,330
2,46,1816,90.8,0.228232279419899,0.20418325196258658,1811,2566,341,298,34,32,375,330
2,47,1850,92.5,0.0839456170797348,0.058724729943645554,1831,1854,341,298,34,32,375,330
2,48,1860,93.0,0.14098763465881348,0.13875700252075074,1831,1955,341,298,34,32,375,330
2,49,1879,93.95,0.11072751879692078,0.05115297706471117,1874,1923,341,298,34,32,375,330
2,50,1905,95.25,0.09228674322366714,0.061685505853222945,1891,1923,341,298,34,32,375,330
2,51,1935,96.75,0.09611416608095169,0.09397875520910892,1923,1955,341,298,34,32,375,330
2,52,1944,97.2,0.0625939890742302,0.04773066617600426,1940,1955,341,298,34,32,375,330
2,53,1961,98.05,0.04289137199521065,0.056480347861672865,1955,1985,341,298,34,32,375,330
2,54,2017,100.85,0.12836934626102448,0.11761412466347368,1955,2357,341,298,34,32,375,330
2,55,2047,102.35,0.10803845524787903,0.05863824040461395,2033,2357,341,298,34,32,375,330
2,56,2212,110.6,0.04475586488842964,0.04401489473854435,2085,2236,341,298,34,32,375,330
2,57,2275,113.75,0.053378913551568985,0.06509009953098457,2085,2357,341,298,34,32,375,330
2,58,2375,118.75,0.1159580871462822,0.09166676607682431,2357,2398,341,298,34,32,375,330
2,59,2431,121.55,0.18967905640602112,0.180206511357888,1831,2512,341,298,34,32,375,330
2,60,2498,124.9,0.06834986060857773,0.045285024217754724,2483,2512,341,298,34,32,375,330
2,61,2535,126.75,0.23147626221179962,0.2690789938398431,1831,2566,341,298,34,32,375,330
2,62,2593,129.65,0.1662708967924118,0.155101598165992,2566,2736,341,298,34,32,375,330
2,63,2624,131.2,0.16536112129688263,0.13208910205246344,2610,2736,341,298,34,32,375,330
2,64,2654,132.7,0.09865039587020874,0.06397062684457587,2644,2694,341,298,34,32,375,330
2,65,2716,135.8,0.1121613010764122,0.13044715404257332,2694,2736,341,298,34,32,375,330
2,66,2747,137.35,0.11385130137205124,0.12902911369372727,2736,3291,341,298,34,32,375,330
2,67,2783,139.15,0.08314347267150879,0.05869739337304663,2763,3188,341,298,34,32,375,330
2,68,2799,139.95,0.06386668980121613,0.06255324509347582,2793,2829,341,298,34,32,375,330
2,69,2833,141.65,0.048265211284160614,0.044167916981591664,2829,2860,341,298,34,32,375,330
2,70,2892,144.6,0.07096974551677704,0.08039081836079631,2793,3188,341,298,34,32,375,330
2,71,2958,147.9,0.056177642196416855,0.04921319427292199,2922,3038,341,298,34,32,375,330
2,72,3074,153.7,0.04995284602046013,0.05246908592243618,3038,3188,341,298,34,32,375,330
2,73,3136,156.8,0.049551792442798615,0.06230162902752013,3091,3188,341,298,34,32,375,330
2,74,3173,158.65,0.058793261647224426,0.04904465632702718,3163,3188,341,298,34,32,375,330
2,75,3222,161.1,0.12617719173431396,0.10880704346072109,3188,3291,341,298,34,32,375,330
2,76,3237,161.85,0.10575298964977264,0.046492212198763816,3233,3291,341,298,34,32,375,330
2,77,3305,165.25,0.04698496311903,0.056233647665976716,3291,3310,341,298,34,32,375,330
2,78,3315,165.75,0.04335208237171173,0.044821446270511545,3310,3329,341,298,34,32,375,330
2,79,3346,167.3,0.08873645961284637,0.10073990162790779,3291,3566,341,298,34,32,375,330
2,80,3393,169.65,0.05105704441666603,0.05060552102164434,3389,3435,341,298,34,32,375,330
2,81,3460,173.0,0.0543394535779953,0.057760993484469114,3435,3526,341,298,34,32,375,330
2,82,3536,176.8,0.052852269262075424,0.07384869421636919,3435,3566,341,298,34,32,375,330
2,83,3618,180.9,0.07720841467380524,0.0787663154496657,3566,3808,341,298,34,32,375,330
2,84,3788,189.4,0.05885066092014313,0.05406318660193632,3674,3808,341,298,34,32,375,330
2,85,3812,190.6,0.060770079493522644,0.045115970910279454,3808,3816,341,298,34,32,375,330
2,86,3829,191.45,0.08190592378377914,0.11618003650643077,3291,3998,341,298,34,32,375,330
2,87,3851,192.55,0.0655534416437149,0.044398763811096226,3842,3854,341,298,34,32,375,330
2,88,3875,193.75,0.07120387256145477,0.06778142680675957,3842,3880,341,298,34,32,375,330
2,89,3900,195.0,0.08762769401073456,0.08023447487079921,3880,3998,341,298,34,32,375,330
2,90,3973,198.65,0.09923578053712845,0.07317108928598091,3952,3998,341,298,34,32,375,330
3,1,16,0.8,0.10032596439123154,0.08734490962321295,0,804,61,294,37,32,98,326
3,2,74,3.7,0.0989856943488121,0.06940124686537555,38,94,61,294,37,32,98,326
3,3,160,8.0,0.1267559677362442,0.10091431293708343,94,188,61,294,37,32,98,326
3,4,211,10.55,0.08969327807426453,0.08070936469796545,188,761,61,294,37,32,98,326
3,5,254,12.7,0.060409385710954666,0.05159040885067161,228,310,61,294,37,32,98,326
3,6,372,18.6,0.0770096480846405,0.05924849834192873,228,636,61,294,37,32,98,326
3,7,471,23.55,0.06180953606963158,0.060977827555081326,436,636,61,294,37,32,98,326
3,8,549,27.45,0.03914956375956535,0.05193234678009149,486,557,61,294,37,32,98,326
3,9,583,29.15,0.061879660934209824,0.059061755566487906,557,636,61,294,37,32,98,326
3,10,629,31.45,0.06244867667555809,0.053857075563385544,603,636,61,294,37,32,98,326
3,11,743,37.15,0.08540854603052139,0.054747179934644855,636,754,61,294,37,32,98,326
3,12,758,37.9,0.08017594367265701,0.07464419597570632,636,761,61,294,37,32,98,326
3,13,770,38.5,0.10936485230922699,0.11947054484738112,188,784,61,294,37,32,98,326
3,14,778,38.9,0.12472645193338394,0.11356523822546867,774,784,61,294,37,32,98,326
3,15,790,39.5,0.13779163360595703,0.17950718392472398,784,804,61,294,37,32,98,326
3,16,821,41.05,0.10287536680698395,0.1270799172329476,804,907,61,294,37,32,98,326
3,17,833,41.65,0.0951387956738472,0.09837560836382844,827,907,61,294,37,32,98,326
3,18,976,48.8,0.20273809134960175,0.06473745728484649,804,992,61,294,37,32,98,326
3,19,998,49.9,0.23608534038066864,0.23155683162699958,804,1830,61,294,37,32,98,326
3,20,1028,51.4,0.07740199565887451,0.06426794405748733,1012,1045,61,294,37,32,98,326
3,21,1040,52.0,0.06237617880105972,0.05249133782299602,1033,1045,61,294,37,32,98,326
3,22,1063,53.15,0.08545580506324768,0.08010418275037176,1012,1157,61,294,37,32,98,326
3,23,1258,62.9,0.10517540574073792,0.11390008766250176,1012,1664,61,294,37,32,98,326
3,24,1356,67.8,0.043465934693813324,0.07773793944065083,1283,1441,61,294,37,32,98,326
3,25,1402,70.1,0.06793633848428726,0.05975087278501867,1386,1441,61,294,37,32,98,326
3,26,1437,71.85,0.05745069682598114,0.05443723848385261,1408,1441,61,294,37,32,98,326
3,27,1463,73.15,0.06385289132595062,0.06288804284986894,1441,1476,61,294,37,32,98,326
3,28,1483,74.15,0.06410029530525208,0.09072075635015762,1441,1664,61,294,37,32,98,326
3,29,1521,76.05,0.07437556236982346,0.0723521380796034,1501,1599,61,294,37,32,98,326
3,30,1574,78.7,0.060946688055992126,0.0728318931894304,1538,1599,61,294,37,32,98,326
3,31,1607,80.35,0.06074196472764015,0.05907017908373469,1599,1634,61,294,37,32,98,326
3,32,1641,82.05,0.06733351200819016,0.07991075882217202,1599,1664,61,294,37,32,98,326
3,33,1675,83.75,0.06733668595552444,0.05667108480411304,1664,1679,61,294,37,32,98,326
3,34,1683,84.15,0.08199398219585419,0.09469814240451044,1664,1729,61,294,37,32,98,326
3,35,1720,86.0,0.040518276393413544,0.051601122475724695,1712,1729,61,294,37,32,98,326
